,name,lat,lon,description,image_url
0,Brooklyn Museum,40.671306,-73.963750,"Located on Long Island in New York City's borough of Brooklyn, it is the second-largest art museum in New York City, and one of the largest in the United States.",https://upload.wikimedia.org/wikipedia/commons/d/df/Brooklyn_Museum_June_2008_sunset_jeh.JPG
1,Brooklyn Tabernacle,40.69083,-73.987444,The Brooklyn Tabernacle is one of New York City's largest churches and Grammy Award winning Choir.,https://upload.wikimedia.org/wikipedia/en/0/01/Brooklyn-Tab.jpg
2,Brooklyn Bridge,40.7057,-73.9964,"Built in 1874, the Brooklyn Bridge is the oldest existing suspension bridge in the U.S.",https://upload.wikimedia.org/wikipedia/commons/e/e2/Pont_de_Brooklyn_de_nuit_-_Octobre_2008_edit.jpg
3,Coney Island,40.5750,-73.9825,"Between about 1880 and World War II, Coney Island was the largest amusement area in the United States; today, it contains two amusement parks and several other attractions clustered around the Riegelmann Boardwalk.",https://upload.wikimedia.org/wikipedia/commons/5/58/Nathan%27s_Coney_Island_July_2007.jpg
4,Prospect Park,40.66167,-73.97083,"The country's longest open park meadow, with ancient trees in Brooklyn's only extant forest.",https://upload.wikimedia.org/wikipedia/commons/2/23/Long-Meadow-Panorama-M01.jpg
5,Citi Field,40.75694,-73.84583,The home stadium of the New York Mets baseball team.,https://upload.wikimedia.org/wikipedia/commons/1/11/Citi_FIeld_Night.jpg
6,Rockaway Peninsula,40.58583,-73.81694,"Also called The Rockaways, a popular summer resort area since the 1830s, containing the Rockaway Beach and Boardwalk and Jacob Riis Park on its southern shore.",https://upload.wikimedia.org/wikipedia/commons/a/ad/Rockaway_Boardwalk_jeh.JPG
7,Unisphere,40.746426,-73.844819,"The symbol of Queens, the Unisphere is a giant globe in Flushing Meadows Park.",https://upload.wikimedia.org/wikipedia/commons/7/72/Unisfera_Flushing.jpg
8,Jones Beach,40.59583,-73.51528,"Jones Beach Tower, now a familiar Jones Beach State Park landmark, was modeled on the campanile of St Mark's Basilica in Venice.",https://upload.wikimedia.org/wikipedia/commons/b/bc/Jones_Beach_WantaghPkwy_Approach.jpg
9,Nassau Veterans Memorial Coliseum,40.72278,-73.59056,Former home arena of the New York Islanders hockey team.,https://upload.wikimedia.org/wikipedia/commons/c/cd/NVMC_3.jpg
10,Old Westbury Gardens,40.77389,-73.59639,"Charles II - Westbury House, style mansion designed by George A. Crawley, contains 23 rooms. The grounds cover 160 acres.",https://upload.wikimedia.org/wikipedia/commons/f/fe/Old_Westbury_Gardens_10.JPG
11,Planting Fields Arboretum State Historic Park,40.86083,-73.55722,"An arboretum and state park covering over 400 acres (160 ha) located in the Village of Upper Brookville in the town of Oyster Bay, New York.",https://upload.wikimedia.org/wikipedia/commons/1/19/Plantfield5597.JPG
12,Sagamore Hill,40.88556,-73.49750,"Sagamore Hill was the home of the 26th President of the United States, Theodore Roosevelt, from 1886 until his death in 1919.",https://upload.wikimedia.org/wikipedia/commons/9/98/SagamoreHill.JPG
13,Welwyn Preserve,40.884,-73.639,"Welwyn Preserve was the estate of Harold I. Pratt. It is now a 204 acre nature reserve, and the mansion houses a Holocaust museum",https://upload.wikimedia.org/wikipedia/commons/7/71/Welwyn_mansion_in_Welwyn_Preserve.JPG
14,Bald Hill,40.843859000,-73.021617000,"Bald Hill Memorial is located in Farmingville, NY. This destination pays tribute to U.S. Veterans to honor the men and women that served the country during the Vietnam War.",https://upload.wikimedia.org/wikipedia/commons/d/d2/Bald-hill-memorial.jpg
15,Captree State Park,40.640,-73.255,"A state park located on the south shore off Jones Island (the barrier island that includes Jones Beach), overlooking the Fire Island Inlet Bridge and the westernmost section of Fire Island. Captree is a fisherman's haven and a picnicker's delight.",https://upload.wikimedia.org/wikipedia/commons/6/65/Captree_state_park_NY_docks.jpg
16,Fire Island Light,40.632444,-73.218583,Fire Island Lighthouse is a 180 foot stone tower that began operation in 1858  replacing the 74 foot tower originally built in 1826.,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fire_Island_Lighthouse_09.jpg
17,Great South Bay Bridge,40.67611,-73.27417,"The Robert Moses Causeway, over The State Channel and Fire Island inlet bridges to one of Long Island's great Atlantic coast islands such as Fire and Jones Beach Island connecting New York's Ocean Parkway.",https://upload.wikimedia.org/wikipedia/commons/b/b9/GreatSouth-B-B.jpg
18,Long Island Game Farm,40.84833,-72.78889,(Petting Zoo) with over 200 animals. The Long Island Game Farm is one of the island's oldest and most well-known establishments.,https://upload.wikimedia.org/wikipedia/commons/7/7e/LI_Game_Farm_Sign%3B_Looking_South.jpg
19,Port Jefferson Harbor,40.94611,-73.06222,"Port Jefferson Harbor continues to attract mariners, visitors, tourists, and families to an area where natural beauty is the setting for a wide variety of activities, including a ferry service to Connecticut.",https://upload.wikimedia.org/wikipedia/commons/3/30/Port_Jefferson_Harbor.jpg
20,Splish Splash,40.92074,-72.72824,"Splish Splash is a 96-acre water park in Riverhead, New York.",https://upload.wikimedia.org/wikipedia/commons/c/cc/Water_pluss_water.jpg
