,name,lat,lon,description,image_url
0,Central Park,40.78222,-73.96528,"Following proposals for a large park in Manhattan during the 1840s, it was approved in 1853 to cover 778 acres. In 1857, landscape architects Frederick Law Olmsted and Calvert Vaux won a design competition for the park with their ""Greensward Plan"". Construction began the same year; existing structures, including a majority-Black settlement named Seneca Village, were seized through eminent domain and razed. The park's first areas were opened to the public in late 1858. Additional land at the northern end of Central Park was purchased in 1859, and the park was completed in 1876. After a period of decline in the early 20th century, New York City parks commissioner Robert Moses started a program to clean up Central Park in the 1930s. The Central Park Conservancy, created in 1980 to combat further deterioration in the late 20th century, refurbished many parts of the park starting in the 1980s.
",https://upload.wikimedia.org/wikipedia/commons/0/05/Southwest_corner_of_Central_Park%2C_looking_east%2C_NYC.jpg
1,Times Square,40.757,-73.986,"Formerly known as Longacre Square, Times Square was renamed in 1904 after The New York Times moved its headquarters to the then newly erected Times Building, now One Times Square. It is the site of the annual New Year's Eve ball drop, which began on December 31, 1907, and continues to attract over a million visitors to Times Square every year.
",https://upload.wikimedia.org/wikipedia/commons/4/47/New_york_times_square-terabass.jpg
2,Grand Central Terminal,40.75278,-73.97722,"Grand Central Terminal (GCT; also referred to as Grand Central Station or simply as Grand Central) is a commuter rail terminal located at 42nd Street and Park Avenue in Midtown Manhattan, New York City. Grand Central is the southern terminus of the Metro-North Railroad's Harlem, Hudson and New Haven Lines, serving the northern parts of the New York metropolitan area. It also contains a connection to the New York City Subway at Grand Centralâ€“42nd Street station. The terminal is the third-busiest train station in North America, after New York Penn Station and Toronto Union Station.
",https://upload.wikimedia.org/wikipedia/commons/7/71/Image-Grand_central_Station_Outside_Night_2.jpg
3,Theater District,40.759,-73.985,"It also contains recording studios, record label offices, theatrical agencies, television studios, restaurants, Duffy Square, Shubert Alley, the Brill Building, a Ripley's Believe It or Not! Odditorium, and Madame Tussauds New York.
",https://upload.wikimedia.org/wikipedia/commons/5/56/Broadway_Theaters_45th_Street_Night.jpg
4,Bryant Park,40.75389,-73.98389,"Bryant Park is a 9.6-acre (39,000 m2) public park located in the New York City borough of Manhattan. Privately managed, it is located between Fifth Avenue and Avenue of the Americas (Sixth Avenue) and between 40th and 42nd Streets in Midtown Manhattan. The eastern half of Bryant Park is occupied by the Main Branch of the New York Public Library (NYPL). The western half, which contains a lawn, shaded walkways, and amenities such as a carousel, is located entirely over an underground structure that houses the library's stacks. The park hosts several events, including a seasonal ""Winter Village"" with an ice rink and shops during the winter.
",https://upload.wikimedia.org/wikipedia/commons/a/a6/New-York_-_Bryant_Park.jpg
5,Prospect Park,40.66167,-73.97083,"First proposed in legislation passed in 1859, Prospect Park was laid out by Frederick Law Olmsted and Calvert Vaux, who also helped design Manhattan's Central Park, following various changes to its design. Prospect Park opened in 1867, though it was not substantially complete until 1873. The park subsequently underwent numerous modifications and expansions to its facilities. Several additions to the park were completed in the 1890s, in the City Beautiful architectural movement. In the early 20th century, New York City Department of Parks and Recreation (NYC Parks) commissioner Robert Moses started a program to clean up Prospect Park. A period of decline in the late 20th century spurred the creation of the Prospect Park Alliance, which refurbished many parts of the park starting in the late 1980s.
",https://upload.wikimedia.org/wikipedia/commons/3/3a/Prospect_Park_New_York_October_2015_003.jpg
6,South Street Seaport,40.70611,-74.00333,"It features some of the oldest architecture in downtown Manhattan, and includes the largest concentration of restored early 19th-century commercial buildings in the city. This includes renovated original mercantile buildings, renovated sailing ships, the former Fulton Fish Market, and modern tourist malls featuring food, shopping, and nightlife.
",https://upload.wikimedia.org/wikipedia/commons/e/e1/South_Street_Seaport%2C_Detroit_Photographic_Company_%280616%29.jpg
7,High Line,40.74833,-74.005,"The High Line is a 1.45-mile-long (2.33 km) elevated linear park, greenway and rail trail created on a former New York Central Railroad spur on the west side of Manhattan in New York City. The High Line's design is a collaboration between James Corner Field Operations, Diller Scofidio + Renfro, and Piet Oudolf. The abandoned spur has been redesigned as a ""living system"" drawing from multiple disciplines which include landscape architecture, urban design, and ecology. Since opening in June 2009, the High Line has become an icon of contemporary landscape architecture.
",https://upload.wikimedia.org/wikipedia/commons/1/1d/High_Line_20th_Street_looking_downtown.jpg
8,Coney Island,40.575,-73.9825,"Coney Island is a peninsular neighborhood and entertainment area in the southwestern section of the New York City borough of Brooklyn. The neighborhood is bounded by Brighton Beach to its east, Lower New York Bay to the south and west, and Gravesend to the north, and includes the subsections of Sea Gate to its west and Brighton Beach to its east. Coney Island was formerly the westernmost of the Outer Barrier islands on the southern shore of Long Island, but in the early 20th century it became a peninsula, connected to the rest of Long Island by land fill.
",https://upload.wikimedia.org/wikipedia/commons/f/f0/Coney_Island_beach_and_amusement_parks_%28June_2016%29.jpg
9,National September 11 Memorial,40.71167,-74.01361,"A memorial was planned in the immediate aftermath of the attacks and destruction of the World Trade Center for the victims and those involved in rescue and recovery operations. The winner of the World Trade Center Site Memorial Competition was Israeli-American architect Michael Arad of Handel Architects, a New York- and San Francisco-based firm. Arad worked with landscape-architecture firm Peter Walker and Partners on the design, creating a forest of swamp white oak trees with two square reflecting pools in the center marking where the Twin Towers stood.
In August 2006, the World Trade Center Memorial Foundation and the Port Authority of New York and New Jersey began heavy construction on the memorial and museum. The design is consistent with the original master plan by Daniel Libeskind, which called for the memorial to be 30 feet (9.1 m) below street levelâ€”originally 70 feet (21 m) in a plaza, and was the only finalist to disregard Libeskind's requirement that the buildings overhang the footprints of the Twin Towers. The World Trade Center Memorial Foundation was renamed the National September 11 Memorial & Museum in 2007.
",https://upload.wikimedia.org/wikipedia/commons/5/51/WTCmemorialJune2012.png
