,article,name,image,lat,lon,description,image_url,address
0,69th Regiment Armory,69th Regiment Armory,69th-regiment-armory.JPG,40.741648,-73.983607,"Home of the watershed Armory Show in 1913, which introduced America to modern art",https://upload.wikimedia.org/wikipedia/commons/d/d5/69th-regiment-armory.JPG,"88 Lexington Ave, New York, NY 10016, USA"
1,Admiral David Glasgow Farragut Gravesite,Admiral David Glasgow Farragut Gravesite,Admiral David Farragut Monument 1024.jpg,40.892165,-73.86586,Only intact known property directly associated with Admiral David Farragut,https://upload.wikimedia.org/wikipedia/commons/a/a5/Admiral_David_Farragut_Monument_1024.jpg,"Central Ave, Bronx, NY 10470, USA"
2,African Burial Ground National Monument,African Burial Ground,African Burial Ground.jpg,40.714558,-74.004384,"Dedicated as National Monument on October 5, 2007; burial site in Lower Manhattan of over 400 Africans from the 17th and 18th centuries",https://upload.wikimedia.org/wikipedia/commons/0/0d/African_Burial_Ground.jpg,"290 Broadway, New York, NY 10007, USA"
3,United States Lightship LV-87,Ambrose (lightship),Ambrose Lightship.jpg,40.704844,-74.002467,"Lightship, several miles offshore, that marked Ambrose Channel into New York Harbor, now at South Street Seaport Museum.",https://upload.wikimedia.org/wikipedia/commons/e/ec/Ambrose_Lightship.jpg,"89 South St Pier 16, New York, NY 10038, USA"
4,American Stock Exchange Building,American Stock Exchange,AMEX.jpg,40.709,-74.0126,"World-class stock exchanges dating back to colonial times. Building area 181,725sq.ft.",https://upload.wikimedia.org/wikipedia/commons/1/10/AMEX.jpg,"90 Trinity Pl, New York, NY 10006, USA"
5,Louis Armstrong House,Louis Armstrong House,Louis-armstrong-house.jpg,40.754556,-73.861557,Home of jazz legend Louis Armstrong for 28 years,https://upload.wikimedia.org/wikipedia/commons/6/69/Louis-armstrong-house.jpg,"34-56 107th St, Corona, NY 11368, USA"
6,Chester A. Arthur House,Chester A. Arthur House,123-lexington.jpg,40.74279,-73.982196,Home of President Chester A. Arthur; site of his inaugural oath,https://upload.wikimedia.org/wikipedia/commons/4/4f/123-lexington.jpg,"123 Lexington Ave, New York, NY 10016, USA"
7,Alice Austen House,Alice Austen House,Alice Austen House.jpg,40.615129,-74.062952,"Home of photographer Alice Austen, now a museum",https://upload.wikimedia.org/wikipedia/commons/a/a6/Alice_Austen_House.jpg,"2 Hylan Blvd, Staten Island, NY 10305, USA"
8,Bartow-Pell Mansion,Bartow-Pell Mansion,Bartow-pell-mansion.jpg,40.871748,-73.805578,19th-century mansion in largest New York City park,https://upload.wikimedia.org/wikipedia/commons/b/bd/Bartow-pell-mansion.jpg,"895 Shore Rd, Bronx, NY 10464, USA"
9,Bayard-Condict Building,Bayard-Condict Building,SullivanNY1.jpg,40.7263,-73.9956,"Only Louis Sullivan building in New York City; one of the first steel skeleton skyscrapers. Total building area stands at 104,775sq.ft.",https://upload.wikimedia.org/wikipedia/commons/d/d0/SullivanNY1.jpg,"74 Bleecker St, New York, NY 10012, USA"
10,Bell Laboratories Building (Manhattan),Bell Laboratories Building,463-west-street-gate.jpg,40.736852,-74.009871,"Bell Labs work here included experimental  phonograph record, vacuum tubes, talking movies (1923), black and white and color TV, radar, and early commercial remote broadcasts. Today home to the Westbeth art collective.",https://upload.wikimedia.org/wikipedia/commons/7/79/463-west-street-gate.jpg,"445-465 West St, New York, NY 10014, USA"
11,Brooklyn Bridge,Brooklyn Bridge,Brooklyn Bridge - New York City.jpg,40.706344,-73.997439,"The first steel wire suspension bridge; at one point the largest in the world; inspiration for Hart Crane's poem, ""The Bridge (epic poem)|The Bridge""",https://upload.wikimedia.org/wikipedia/commons/f/f2/Brooklyn_Bridge_-_New_York_City.jpg,"52 Brooklyn Bridge, New York, NY 10038, USA"
12,Brooklyn Heights Historic District,Brooklyn Heights Historic District,Brooklyn heights july2006a.jpg,40.696667,-73.996667,Exemplary collection of 19th-century architectural styles; first historic district in New York City,https://upload.wikimedia.org/wikipedia/commons/5/5b/62_Montague_Street_Brooklyn_heights_july2006a.jpg,"1 Pierrepont St, Brooklyn, NY 11201, USA"
13,Brooklyn Historical Society Building,Brooklyn Historical Society Building,Brooklyn-historical-society.jpg,40.694761,-73.992794,One of the few remaining buildings by George B. Post; innovative structural system,https://upload.wikimedia.org/wikipedia/commons/2/2b/Brooklyn-historical-society.jpg,"122 Pierrepont St, Brooklyn, NY 11201, USA"
14,Ralph Johnson Bunche House,Ralph Johnson Bunche House,Ralph-johnson-bunch-house.jpg,40.70646,-73.836998,"Home of Ralph Johnson Bunche, eminent African-American diplomat and Undersecretary General of United Nations",https://upload.wikimedia.org/wikipedia/commons/9/9c/Ralph-johnson-bunch-house.jpg,"115-24 Grosvenor Rd, Queens, NY 11418, USA"
15,Carnegie Hall,Carnegie Hall,Carnegie Hall.jpg,40.764944,-73.980139,One of the most famous music venues in the world,https://upload.wikimedia.org/wikipedia/commons/e/e3/Carnegie_Hall.jpg,"881 7th Ave, New York, NY 10019, USA"
16,Andrew Carnegie Mansion,Andrew Carnegie Mansion,Cooper-hewitt 90 jeh.JPG,40.784421,-73.95789,"Home of Andrew Carnegie, now the Cooper-Hewitt, National Design Museum",https://upload.wikimedia.org/wikipedia/commons/7/71/Cooper-hewitt_90_jeh.JPG,"2 E 91st St, New York, NY 10128, USA"
17,Central Park,Central Park,Central Park New York City New York 23 cropped.jpg,40.781944,-73.966111,The Green Lung of the city; one of the most visited city parks in the world; designed by Frederick Law Olmsted and Calvert Vaux.,https://upload.wikimedia.org/wikipedia/commons/0/0a/Central_Park_New_York_City_New_York_23_cropped.jpg,"The Great Lawn, 79th Street & 85th Street, New York, NY 10024, USA"
18,Central Synagogue (Manhattan),Central Synagogue,Central Synagogue Lex jeh.jpg,40.759592,-73.970473,Oldest synagogue continuously in use by a New York City Jewish congregation; built in a Moorish Revival style to recognize importance of that period in Jewish history,https://upload.wikimedia.org/wikipedia/commons/a/a1/Central_Synagogue_Lex_jeh.jpg,"650 Lexington Ave, New York, NY 10022, USA"
19,Chamber of Commerce Building (Manhattan),Chamber of Commerce Building,65-liberty-st.jpg,40.709434,-74.009871,"ormer home of the Chamber of Commerce of the State of New York, established in 1768; prototype for the chamber of commerce",https://upload.wikimedia.org/wikipedia/commons/9/98/65-liberty-st.jpg,"160 Broadway, New York, NY 10038, USA"
20,Chrysler Building,Chrysler Building,Chrysler building- top.jpg,40.7517,-73.9753,Art Deco skyscraper; distinctive feature of Manhattan skyline; at one point world's tallest building,https://upload.wikimedia.org/wikipedia/commons/3/3b/Chrysler_building-_top.jpg,"134 E 43rd St, New York, NY 10174, USA"
21,Church of the Ascension (New York),Church of the Ascension,Church of the Ascension by David Shankbone.jpg,40.733647,-73.995492,Early church design by Richard Upjohn; valuable interior artwork,https://upload.wikimedia.org/wikipedia/commons/e/e7/Church_of_the_Ascension_by_David_Shankbone.jpg,"36 5th Ave, New York, NY 10011, USA"
22,New York City Hall,City Hall,Nyc city hall jan06a.jpg,40.7127,-74.0059,Oldest city hall in U.S. still in use as main municipal government building,https://upload.wikimedia.org/wikipedia/commons/4/4a/Nyc_city_hall_jan06a.jpg,"52 Chambers St, New York, NY 10007, USA"
23,Conference House,Conference House,Conference-house-staten-island.jpg,40.503072,-74.253159,Only surviving pre-Revolutionary War manor house in New York City; site of Staten Island Peace Conference|unsuccessful peace conference in 1776,https://upload.wikimedia.org/wikipedia/commons/7/7b/Conference-house-staten-island.jpg,"7455 Hylan Blvd, Staten Island, NY 10307, USA"
24,Will Marion Cook House,Will Marion Cook House,Marion-cook-house.jpg,40.818096,-73.942924,Home of the leading black composer and musician Will Marion Cook,https://upload.wikimedia.org/wikipedia/commons/c/ca/Marion-cook-house.jpg,"218 W 139th St, New York, NY 10030, USA"
